gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
APP	21	FALSE	31526.9275011225	0.164892785878082	0.139740530572959	1.17999255621826	0.238003175510716	FALSE	FALSE	Male higher
DFFA	1	FALSE	1425.46471401376	0.109549840726596	0.0928460264258109	1.17990876878433	0.238036501911784	FALSE	FALSE	Male higher
ZC4H2	X	TRUE	69.4205871733241	-0.396675544758536	0.336201465711515	-1.17987452529107	0.238050123188937	FALSE	FALSE	Female higher
XPO7	8	FALSE	4088.94983912322	0.150495733528695	0.127554477381996	1.1798545736501	0.238058059748398	FALSE	FALSE	Male higher
NFRKB	11	FALSE	2953.03352735733	-0.116428557156137	0.0986985620602979	-1.17963782577711	0.23814429188328	FALSE	FALSE	Female higher
CIB1	15	FALSE	829.129784053679	-0.115720703299759	0.0981144431003591	-1.17944616147279	0.2382205630076	FALSE	FALSE	Female higher
GNPTG	16	FALSE	1952.88073459548	-0.113802677795508	0.0964959397076509	-1.1793519824802	0.238258047027645	FALSE	FALSE	Female higher
DAD1	14	FALSE	1283.38761020421	0.158514263816075	0.134424108819323	1.17921007777802	0.238314534139004	FALSE	FALSE	Male higher
THAP1	8	FALSE	110.425967316023	0.159562937001466	0.135315812862246	1.17918914002981	0.238322869496889	FALSE	FALSE	Male higher
DUSP22	6	FALSE	539.912966870495	-0.158808207853962	0.134677534455432	-1.17917370923148	0.238329012659146	FALSE	FALSE	Female higher
SLC9B2	4	FALSE	129.236131614997	-0.191622312910204	0.162540980811255	-1.17891692269729	0.238431258472957	FALSE	FALSE	Female higher
CDIP1	16	FALSE	308.99415327924	-0.193603599428983	0.16422286391827	-1.17890770389521	0.238434929739206	FALSE	FALSE	Female higher
INTS5	11	FALSE	456.068699003455	0.214397138556629	0.181908535536772	1.17859856286562	0.238558064177579	FALSE	FALSE	Male higher
NEFH	22	FALSE	127.487907308601	0.205772724262033	0.174592464607551	1.17858880521888	0.238561951491343	FALSE	FALSE	Male higher
NANOGP4	7	FALSE	179.26279028156	-0.263015514794009	0.223204032608889	-1.1783636331288	0.238651669409289	FALSE	FALSE	Female higher
EDEM1	3	FALSE	1135.8002366286	-0.147374337337976	0.12507684100991	-1.1782703828145	0.238688831181004	FALSE	FALSE	Female higher
PFN1	17	FALSE	4917.40878042051	0.186199875660666	0.158052862340374	1.17808607135299	0.238762294317249	FALSE	FALSE	Male higher
CTSW	11	FALSE	232.602090069171	-0.501249612176473	0.425498800048795	-1.17802826263903	0.238785339086841	FALSE	FALSE	Female higher
MPPED2	11	FALSE	149.781598698297	-0.331596110766346	0.281488981143257	-1.1780074282822	0.238793644844927	FALSE	FALSE	Female higher
MCUB	4	FALSE	265.963108775026	0.224441753154496	0.190589415374077	1.17761919104466	0.238948455554695	FALSE	FALSE	Male higher
FCGR2C	1	FALSE	2328.36204638074	-0.324856042577913	0.2758904204801	-1.17748213951251	0.239003122151721	FALSE	FALSE	Female higher
LRCH3	3	FALSE	2144.30938654843	-0.128621996858903	0.109254182590754	-1.17727297764605	0.239086568853265	FALSE	FALSE	Female higher
ZBTB7B	1	FALSE	988.575251336635	-0.0944642961488236	0.0802423970543426	-1.1772367179516	0.239101037021436	FALSE	FALSE	Female higher
KIFAP3	1	FALSE	796.468654989819	-0.13141771078175	0.111632887749688	-1.17723113171116	0.239103266071024	FALSE	FALSE	Female higher
CLDN6	16	FALSE	178.369045649377	0.529052141160745	0.449473077710269	1.17704967749319	0.239175678811773	FALSE	FALSE	Male higher
GRIA2	4	FALSE	135.253120449543	-0.425616602137453	0.361636998755677	-1.17691664183122	0.239228779038389	FALSE	FALSE	Female higher
HNRNPLP2	15	FALSE	5271.69172859476	0.144854020007485	0.123097646943979	1.17674077127897	0.239298989264493	FALSE	FALSE	Male higher
CTIF	18	FALSE	3067.01202171864	-0.297265675367816	0.25263267691766	-1.17667151769406	0.239326640347166	FALSE	FALSE	Female higher
ESPN	1	FALSE	599.573687961289	0.470430862774946	0.39980799169295	1.17664196951879	0.239338438819886	FALSE	FALSE	Male higher
