gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
ADGRG2	TRUE	TRUE	retained
ADGRG3	TRUE	TRUE	retained
ADGRG6	TRUE	TRUE	retained
ADGRL1	TRUE	TRUE	retained
ADGRL2	TRUE	TRUE	retained
ADGRL3	TRUE	TRUE	retained
ADGRL4	TRUE	TRUE	retained
ADGRV1	TRUE	TRUE	retained
ADH1A	TRUE	TRUE	retained
ADH4	TRUE	TRUE	retained
ADH5	TRUE	TRUE	retained
ADH5P2	TRUE	TRUE	retained
ADH5P3	TRUE	TRUE	retained
ADH5P4	TRUE	TRUE	retained
ADH6	TRUE	TRUE	retained
ADHFE1	TRUE	TRUE	retained
ADI1	TRUE	TRUE	retained
ADIPOR1	TRUE	TRUE	retained
ADIPOR1P2	TRUE	TRUE	retained
ADIPOR2	TRUE	TRUE	retained
ADK	TRUE	TRUE	retained
ADM	TRUE	TRUE	retained
ADNP	TRUE	TRUE	retained
ADNP2	TRUE	TRUE	retained
ADO	TRUE	TRUE	retained
ADORA1	TRUE	TRUE	retained
ADORA2B	TRUE	TRUE	retained
ADPGK	TRUE	TRUE	retained
ADPRH	TRUE	TRUE	retained
ADPRHL1	TRUE	TRUE	retained
ADPRM	TRUE	TRUE	retained
ADPRS	TRUE	TRUE	retained
ADRA2A	TRUE	TRUE	retained
ADRA2C	TRUE	TRUE	retained
ADRB1	TRUE	TRUE	retained
ADRB2	TRUE	TRUE	retained
ADRB3	TRUE	TRUE	retained
ADRM1	TRUE	TRUE	retained
ADSL	TRUE	TRUE	retained
ADSS1	TRUE	TRUE	retained
ADSS2	TRUE	TRUE	retained
AEBP1	TRUE	TRUE	retained
AEBP2	TRUE	TRUE	retained
AEN	TRUE	TRUE	retained
AFAP1	TRUE	TRUE	retained
AFAP1-AS1	TRUE	TRUE	retained
AFAP1L1	TRUE	TRUE	retained
AFAP1L2	TRUE	TRUE	retained
AFDN	TRUE	TRUE	retained
AFDN-DT	TRUE	TRUE	retained
AFF1	TRUE	TRUE	retained
AFF2	TRUE	TRUE	retained
AFF3	TRUE	TRUE	retained
AFF4	TRUE	TRUE	retained
AFG1L	TRUE	TRUE	retained
AFG3L1P	TRUE	TRUE	retained
AFG3L2	TRUE	TRUE	retained
AFG3L2P1	TRUE	TRUE	retained
AFMID	TRUE	TRUE	retained
AFP	TRUE	TRUE	retained
AFTPH	TRUE	TRUE	retained
AGA	TRUE	TRUE	retained
AGAP1	TRUE	TRUE	retained
AGAP10P	TRUE	TRUE	retained
AGAP12P	TRUE	TRUE	retained
AGAP13P	TRUE	TRUE	retained
AGAP14P	TRUE	TRUE	retained
AGAP2	TRUE	TRUE	retained
AGAP3	TRUE	TRUE	retained
AGAP4	TRUE	TRUE	retained
AGAP5	TRUE	TRUE	retained
AGAP6	TRUE	TRUE	retained
AGAP7P	TRUE	TRUE	retained
AGAP9	TRUE	TRUE	retained
AGBL2	TRUE	TRUE	retained
AGBL4	TRUE	TRUE	retained
AGBL5	TRUE	TRUE	retained
AGER	TRUE	TRUE	retained
AGFG1	TRUE	TRUE	retained
AGFG2	TRUE	TRUE	retained
AGGF1	TRUE	TRUE	retained
AGK	TRUE	TRUE	retained
AGKP1	TRUE	TRUE	retained
AGKP2	TRUE	TRUE	retained
AGL	TRUE	TRUE	retained
AGO1	TRUE	TRUE	retained
AGO2	TRUE	TRUE	retained
AGO3	TRUE	TRUE	retained
AGO4	TRUE	TRUE	retained
AGPAT1	TRUE	TRUE	retained
AGPAT2	TRUE	TRUE	retained
AGPAT3	TRUE	TRUE	retained
AGPAT4	TRUE	TRUE	retained
AGPAT5	TRUE	TRUE	retained
AGPS	TRUE	TRUE	retained
AGR2	TRUE	TRUE	retained
AGRN	TRUE	TRUE	retained
AGT	TRUE	TRUE	retained
AGTPBP1	TRUE	TRUE	retained
AGTR1	TRUE	TRUE	retained
AGTRAP	TRUE	TRUE	retained
AGXT	TRUE	TRUE	retained
AHCTF1	TRUE	TRUE	retained
AHCTF1P1	TRUE	TRUE	retained
AHCY	TRUE	TRUE	retained
AHCYL1	TRUE	TRUE	retained
AHCYL2	TRUE	TRUE	retained
AHCYP2	TRUE	TRUE	retained
AHCYP3	TRUE	TRUE	retained
AHCYP4	TRUE	TRUE	retained
AHCYP7	TRUE	TRUE	retained
AHDC1	TRUE	TRUE	retained
AHI1	TRUE	TRUE	retained
AHNAK	TRUE	TRUE	retained
AHNAK2	TRUE	TRUE	retained
AHR	TRUE	TRUE	retained
AHSA1	TRUE	TRUE	retained
AHSA2P	TRUE	TRUE	retained
AHSG	TRUE	TRUE	retained
AHSP	TRUE	TRUE	retained
AIDA	TRUE	TRUE	retained
AIDAP1	TRUE	TRUE	retained
AIDAP2	TRUE	TRUE	retained
AIF1	TRUE	TRUE	retained
AIF1L	TRUE	TRUE	retained
AIFM1	TRUE	TRUE	retained
AIFM1P1	TRUE	TRUE	retained
AIFM2	TRUE	TRUE	retained
AIFM3	TRUE	TRUE	retained
AIG1	TRUE	TRUE	retained
AIM2	TRUE	TRUE	retained
AIMP1	TRUE	TRUE	retained
AIMP1P1	TRUE	TRUE	retained
AIMP2	TRUE	TRUE	retained
AIP	TRUE	TRUE	retained
AJM1	TRUE	TRUE	retained
AJUBA	TRUE	TRUE	retained
AK2	TRUE	TRUE	retained
AK2P2	TRUE	TRUE	retained
AK3	TRUE	TRUE	retained
AK3P2	TRUE	TRUE	retained
AK3P5	TRUE	TRUE	retained
AK4P1	TRUE	TRUE	retained
AK4P3	TRUE	TRUE	retained
AK6	TRUE	TRUE	retained
AK6P1	TRUE	TRUE	retained
AK6P2	TRUE	TRUE	retained
AK9	TRUE	TRUE	retained
AKAP1	TRUE	TRUE	retained
AKAP10	TRUE	TRUE	retained
AKAP11	TRUE	TRUE	retained
AKAP12	TRUE	TRUE	retained
AKAP13	TRUE	TRUE	retained
AKAP17A	TRUE	TRUE	retained
AKAP5	TRUE	TRUE	retained
AKAP6	TRUE	TRUE	retained
AKAP7	TRUE	TRUE	retained
AKAP8	TRUE	TRUE	retained
AKAP8L	TRUE	TRUE	retained
AKAP9	TRUE	TRUE	retained
AKIP1	TRUE	TRUE	retained
AKIRIN1	TRUE	TRUE	retained
AKIRIN1P2	TRUE	TRUE	retained
AKIRIN2	TRUE	TRUE	retained
AKIRIN2P1	TRUE	TRUE	retained
AKNA	TRUE	TRUE	retained
AKNAD1	TRUE	TRUE	retained
AKR1A1	TRUE	TRUE	retained
AKR1B1	TRUE	TRUE	retained
AKR1B15	TRUE	TRUE	retained
AKR1B1P1	TRUE	TRUE	retained
AKR1B1P2	TRUE	TRUE	retained
AKR1B1P3	TRUE	TRUE	retained
AKR1B1P7	TRUE	TRUE	retained
AKR1C1	TRUE	TRUE	retained
AKR1C2	TRUE	TRUE	retained
AKR1C3	TRUE	TRUE	retained
AKR1E2	TRUE	TRUE	retained
AKR7A2	TRUE	TRUE	retained
AKR7A2P1	TRUE	TRUE	retained
AKR7A2P2	TRUE	TRUE	retained
AKR7A3	TRUE	TRUE	retained
AKR7L	TRUE	TRUE	retained
AKT1	TRUE	TRUE	retained
AKT1S1	TRUE	TRUE	retained
AKT2	TRUE	TRUE	retained
AKT3	TRUE	TRUE	retained
AKTIP	TRUE	TRUE	retained
ALAD	TRUE	TRUE	retained
ALAS1	TRUE	TRUE	retained
ALAS2	TRUE	TRUE	retained
ALB	TRUE	TRUE	retained
ALCAM	TRUE	TRUE	retained
ALDH16A1	TRUE	TRUE	retained
ALDH18A1	TRUE	TRUE	retained
ALDH1A1	TRUE	TRUE	retained
ALDH1A3	TRUE	TRUE	retained
ALDH1B1	TRUE	TRUE	retained
ALDH1L1	TRUE	TRUE	retained
ALDH1L2	TRUE	TRUE	retained
ALDH2	TRUE	TRUE	retained
ALDH3A2	TRUE	TRUE	retained
ALDH3B1	TRUE	TRUE	retained
ALDH3B2	TRUE	TRUE	retained
ALDH4A1	TRUE	TRUE	retained
ALDH5A1	TRUE	TRUE	retained
ALDH6A1	TRUE	TRUE	retained
ALDH7A1	TRUE	TRUE	retained
ALDH7A1P1	TRUE	TRUE	retained
ALDH8A1	TRUE	TRUE	retained
ALDH9A1	TRUE	TRUE	retained
ALDOA	TRUE	TRUE	retained
ALDOAP1	TRUE	TRUE	retained
ALDOAP2	TRUE	TRUE	retained
ALDOB	TRUE	TRUE	retained
ALDOC	TRUE	TRUE	retained
ALG1	TRUE	TRUE	retained
ALG10	TRUE	TRUE	retained
ALG10B	TRUE	TRUE	retained
ALG11	TRUE	TRUE	retained
ALG12	TRUE	TRUE	retained
ALG13	TRUE	TRUE	retained
ALG14	TRUE	TRUE	retained
ALG1L15P	TRUE	TRUE	retained
ALG1L6P	TRUE	TRUE	retained
ALG2	TRUE	TRUE	retained
ALG3	TRUE	TRUE	retained
ALG3P1	TRUE	TRUE	retained
ALG5	TRUE	TRUE	retained
ALG6	TRUE	TRUE	retained
