analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05
PAPER_REPRODUCTION_GENOMEWIDE	GO:1900047	BP	negative regulation of hemostasis	16399	541	39	11	1.28660284163669	8.54964690269681	3.29886137539031e-08	10	1	F2; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PROC; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0019755	BP	one-carbon compound transport	16399	541	8	6	0.263918531617782	22.7342883548983	3.31982511186705e-08	6	0	HBA1; HBA2; HBB; HBG1; HBG2; HBZ	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0045652	BP	regulation of megakaryocyte differentiation	16399	541	31	10	1.0226843100189	9.77818853974122	3.33787023176277e-08	10	0	H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; MYB; PF4	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0042391	BP	regulation of membrane potential	16399	541	275	29	9.07219952436124	3.19657872626449	3.58511815116908e-08	4	25	AGT; ALB; ATP1A2; CACNA1C; CACNA1D; CACNA1G; CACNA1H; CHRNE; GABRR2; GRID1; GRIK2; GRIK3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; MAPK8IP2; MTNR1B; MYH14; NDUFC2; NLGN2; PIP5KL1; RELN; RIMS2; SLC4A4; SLC4A8; STX1A; STX1B	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0034220	BP	monoatomic ion transmembrane transport	16399	541	683	51	22.5320446368681	2.26344305729588	4.35038141842653e-08	9	42	ABCC8; AGT; ANO1; ANO7; ANO9; ATP10A; ATP1A2; ATP2B3; ATP2C2; CACNA1A; CACNA1C; CACNA1D; CACNA1E; CACNA1G; CACNA1H; CBARP; CHRNE; F2; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HPN; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KCNT1; NDUFC2; NIPAL4; PKD1L1; PKD1L2; PLCH2; PRKCE; SCNN1A; SLC15A1; SLC1A1; SLC26A7; SLC28A3; SLC38A4; SLC38A5; SLC39A5; SLC4A1; SLC4A4; SLC4A8; SLC6A2; SLC6A6; SLC6A9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0065004	BP	protein-DNA complex assembly	16399	541	171	22	5.64125861333008	3.89983893807223	4.94619281027448e-08	22	0	H1-1; H1-5; H2BC13; H2BC14; H2BC6; H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C6; H3C7; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; SOX9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0030219	BP	megakaryocyte differentiation	16399	541	50	12	1.64949082261113	7.27497227356747	5.69098889340051e-08	12	0	BLVRB; GATA1; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; MYB; PF4	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0071824	BP	protein-DNA complex organization	16399	541	187	23	6.16909567656564	3.72826119189064	5.74101243233322e-08	23	0	H1-1; H1-5; H2BC13; H2BC14; H2BC6; H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C6; H3C7; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; NFE2; SOX9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0050819	BP	negative regulation of coagulation	16399	541	41	11	1.35258247454113	8.1325909562238	5.85704164056783e-08	10	1	F2; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PROC; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:1903034	BP	regulation of response to wounding	16399	541	132	19	4.3546557716934	4.36314624992998	6.66261598981706e-08	15	4	CLDN1; CLDN3; F2; F7; FGA; FGB; FGG; KIAA0319; KNG1; NOS3; PF4; PLG; PRDX2; PRKCE; PROC; SERPINC1; SERPINF2; VIL1; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0003018	BP	vascular process in circulatory system	16399	541	193	23	6.36703457527898	3.61235669887849	1.03328489742415e-07	12	11	ABCC3; ABCC8; AGT; ATP1A2; CPS1; FGA; FGB; FGG; HBB; KEL; KNG1; MFSD2A; MTNR1B; NOS3; SERPINF2; SLC1A1; SLC38A3; SLC38A5; SLC4A4; SLC4A8; SLC6A6; SLC6A9; SLCO3A1	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0007599	BP	hemostasis	16399	541	182	22	6.00414659430453	3.66413438687006	1.5200455837509e-07	18	4	F2; F7; F8; FGA; FGB; FGG; GATA1; HBB; ITGB3; KNG1; NFE2; NOS3; PF4; PLG; PRDX2; PROC; SCUBE1; SERPINA1; SERPINC1; SERPIND1; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0050877	BP	nervous system process	16399	541	532	42	17.5505823525825	2.39308298472614	1.60552222692767e-07	8	34	ABCC6; ABCC8; ANKRD24; ANO1; ANO9; ATP1A2; CACNA1D; CHRNE; COL11A1; COL2A1; CTNNA2; FAM107A; GRIK2; HLA-DRA; HOMER2; HPN; IMPG2; ITGAX; KCND2; MAPK8IP2; MFSD2A; MTNR1B; MYH14; MYO1A; MYO7B; NLGN2; NLGN4Y; NOS3; NRXN2; OR2A1; OR2A42; RAPGEF3; RBP4; RELN; RIMS2; RP1; SCNN1A; SLC1A1; STX1A; STX1B; TBX1; USH2A	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0042592	BP	homeostatic process	16399	541	1128	70	37.2125129581072	1.88108768893958	2.08951885632606e-07	43	27	ABCC6; ABCC8; ACHE; AGT; AHSP; AKR1C1; ANGPTL3; APOA1; APOA2; APOB; APOC1; APOM; ATP1A2; ATP2B3; ATP2C2; CLDN1; CLDN3; CNTN2; CP; CPS1; EPB42; F2; FOXO1; FTL; G0S2; GATA1; GLRX5; HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ; HPX; IRX3; ITGB3; KLF1; LIPC; MFSD2A; MLXIPL; MT1E; MT1G; MT1HL1; MT2A; MTNR1B; MUC4; MUC6; MYB; NOS3; NR1D1; PRDX2; PTGER3; RBP4; RP1; SCNN1A; SLC1A1; SLC38A3; SLC39A5; SLC4A1; SLC4A4; SLC4A8; SLC6A2; SMIM1; SOX9; TF; TFR2; USH2A; ZBTB20; ZNF516	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0007596	BP	blood coagulation	16399	541	177	21	5.83919751204342	3.59638459851499	3.9922891502872e-07	17	4	F2; F7; F8; FGA; FGB; FGG; GATA1; HBB; ITGB3; KNG1; NOS3; PF4; PLG; PRDX2; PROC; SCUBE1; SERPINA1; SERPINC1; SERPIND1; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0050817	BP	coagulation	16399	541	177	21	5.83919751204342	3.59638459851499	3.9922891502872e-07	17	4	F2; F7; F8; FGA; FGB; FGG; GATA1; HBB; ITGB3; KNG1; NOS3; PF4; PLG; PRDX2; PROC; SCUBE1; SERPINA1; SERPINC1; SERPIND1; SERPINF2; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0061515	BP	myeloid cell development	16399	541	49	11	1.61650100615891	6.80482100418726	4.25159753079146e-07	11	0	EPB42; GATA1; HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ; MYB; SMIM1	TRUE
